productid,suggestion
AILEETI1811300,['HBV00000PQJLN - 0.31932952065982434']
HBV0000020P42,"['HBV00000PQLHL - 0.17183970543971697', 'ZYBICN9287639 - 0.10448275225508533']"
HBV000002B6KD,['HBV000007N2WJ - 0.5768497267647089']
HBV000002O5M7,"['ZYHPDROETYRD008 - 0.25136657973280796', 'ZYHPDROETYRD009 - 0.21265258364277875', 'ZYHPDROETYRD010 - 0.1861926730786541', 'HBV00000PQIIM - 0.153310689551365', 'HBV00000PQLJ6 - 0.10715212111648033']"
HBV000002XD9P,"['HBV000002XD9R - 0.5043594811463674', 'HBV00000NG8FU - 0.1717068631768567']"
HBV000002XD9R,"['HBV000002XD9P - 0.5043594811463674', 'HBV00000NG8FQ - 0.08785154881826089', 'HBV00000NG8FU - 0.027517609096073162']"
HBV0000047XQO,"['HBV00000U2BB0 - 0.34984591237964824', 'ZYBICN9287076 - 0.19308042920806348', 'ZYBICN9287075 - 0.18474844418646746']"
HBV000004FX7K,['HBV000004FX7O - 0.5170796416113024']
HBV000004FX7O,"['HBV000004FX7K - 0.5170796416113024', 'HBV00000NG8K2 - 0.008516321057846428']"
HBV000005E662,['HBV00000NE0QQ - 0.23101117464091564']
HBV000006D2ZI,['HBV00000JUHKU - 0.09851719924588669']
HBV000006IYWI,['HBV00000QU6FS - 0.4965785549896467']
HBV000006IYY4,['HBV00000NE0ZA - 0.020940021797408916']
HBV000006IYYA,['HBV00000NE0Z4 - 0.2180473655110313']
HBV000006IYYQ,"['HBV00000NE253 - 0.07025376295099811', 'HBV00000OE7OC - 0.04697865566128924', 'HBV00000NE24Z - 0.021328180439420703', 'HBV00000NE0XG - 0.0086762200354188']"
HBV000006IZ6Z,['HBV00000PQLFR - 0.4364123143941059']
HBV000006IZ7R,"['HBV00000NFGXX - 0.36673855333027583', 'ZYHPETICEKEK045 - 0.3012357237845288']"
HBV000006IZL9,['HBV00000PVBKZ - 0.435496069228153']
HBV000007N2WJ,['HBV000002B6KD - 0.5768497267647089']
HBV00000DJ9PJ,['HBV00000DJ9Q7 - 0.7603123985308854']
HBV00000DJ9Q7,['HBV00000DJ9PJ - 0.7603123985308854']
HBV00000DJ9S1,"['ZYBICN9286591 - 0.09436834187101026', 'HBV00000NE0XG - 0.043183987760080304']"
HBV00000DJVIS,['ZYHPDROETTTL020 - 0.49345996448484103']
HBV00000DW9NP,['HBV00000PNG8X - 0.47990886504773145']
HBV00000DW9NT,"['ZYHPFRITOCPS041 - 0.3722762739775121', 'HBV00000DW9O1 - 0.365682357843065', 'HBV00000DW9NZ - 0.3429746975740086', 'HBV00000PNG9X - 0.28270773231479257', 'HBV00000PNGHQ - 0.17247907816733182', 'HBV00000PQLVL - 0.08578165295510276']"
HBV00000DW9NZ,"['HBV00000PNG8T - 0.44502163674263184', 'ZYHPFRITOCPS041 - 0.43089533532993146', 'HBV00000PQKVD - 0.4162670695163254', 'HBV00000PNG9X - 0.3760011203607779', 'HBV00000PNG9L - 0.3484900882116382', 'HBV00000DW9NT - 0.3429746975740086', 'HBV00000PNG9Z - 0.33596047607065144', 'HBV00000PNG8X - 0.32359721028881033', 'HBV00000DW9O1 - 0.2908989245073191', 'HBV00000PNGHQ - 0.27716415996845983', 'HBV00000PNGHG - 0.25443225464747626', 'ZYHPFRITOCPS066 - 0.22844903102583397', 'ZYHPFRITOCPS058 - 0.2278302194189783', 'HBV00000PNG99 - 0.21521357385565298', 'HBV00000PNGHO - 0.2063913498955934', 'ZYHPFRITOCPS040 - 0.1742025498975528', 'HBV00000PQJ3W - 0.15276368037416793']"
HBV00000DW9O1,"['HBV00000DW9NT - 0.365682357843065', 'HBV00000PNG9L - 0.30438818480332563', 'HBV00000PNGHG - 0.29965247562995695', 'HBV00000DW9NZ - 0.2908989245073191', 'ZYHPFRITOCPS066 - 0.28918836206444', 'HBV00000JUHL6 - 0.264978148936391', 'HBV00000PNG9X - 0.2461510693042283', 'ZYHPFRITOCPS041 - 0.22494299582444122', 'HBV00000PNG99 - 0.2123263502611159', 'HBV00000QU4C0 - 0.20350412630105624', 'HBV00000PNGHQ - 0.09896443557725737']"
HBV00000GENDW,['HBV00000GI4SX - 0.9283676937269236']
HBV00000GI4SX,['HBV00000GENDW - 0.9283676937269236']
HBV00000GI4SZ,['HBV00000PV8MG - 0.4269729765292048']
HBV00000GNAXL,"['HBV00000NE11I - 0.30907533513308894', 'HBV00000OE95O - 0.3075656792837139', 'HBV00000PV7A2 - 0.2670791900613116']"
HBV00000H1O7F,"['HBV00000PNG8N - 0.33532875443554133', 'HBV00000QU4CO - 0.21729743301603963', 'HBV00000NVZIE - 0.21408802572751778', 'HBV00000NG8NP - 0.20490561293592663', 'ZYIDP80050100 - 0.17023128624236064', 'HBV00000P7VMU - 0.15291983301995846', 'HBV00000QU467 - 0.11824550632639252', 'ZYHPETICECIK008 - 0.07153954838424507', 'HBV00000P7VP1 - 0.05727357737548464', 'HBV00000QU6IR - 0.007230987536930927']"
HBV00000H8CAW,['HBV00000PQOWB - 0.6196260233487821']
HBV00000IFZG2,['HBV00000JUHBC - 0.24095163355413973']
HBV00000IQDIZ,"['HBV00000PVCIG - 0.3849489564980073', 'HBV00000PVCI8 - 0.3674457520442897', 'HBV00000PVCIJ - 0.33506391662540747', 'HBV00000PVCI5 - 0.2895060823924923', 'HBV00000JUHBC - 0.023257140837263268', 'HBV00000NE1SP - 0.000662918159889646']"
HBV00000IQDKH,"['HBV00000NFGTT - 0.19527564441530607', 'HBV00000SP76Y - 0.15426462045720593', 'HBV00000NFGTP - 0.07874582877444425']"
